date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:54	30933/30933	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:15:52%20GMT	http://localhost/ShopOnline/product/19-dellvostro155581vrf6j1.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/19-dellvostro155581vrf6j1.html	(from http://localhost/ShopOnline/index.php)
21:15:55	14016/14016	---M--	200	added ('OK')	image/jpeg	etag:%2236c0-59a7f39097b00%22	http://localhost/ShopOnline/public/upload/product/dellvostro346870161069jpg.jpg?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/dellvostro346870161069jpgaaa1.jpg	(from http://localhost/ShopOnline/index.php)
21:15:55	13977/13977	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Dec%202019%2014:15:54%20GMT	http://localhost/ShopOnline/dellvostro15-5581-vrf6j1.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/dellvostro15-5581-vrf6j1.jpg	(from http://localhost/ShopOnline/index.php)
21:15:56	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2031%20Dec%202019%2014:15:55%20GMT	http://localhost/ShopOnline/product/view/19-dellvostro155581vrf6j1.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/view/19-dellvostro155581vrf6j1.html	(from http://localhost/ShopOnline/index.php)
21:15:57	31259/31259	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:15:56%20GMT	http://localhost/ShopOnline/product/21-dellinspiron3593.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/21-dellinspiron3593.html	(from http://localhost/ShopOnline/index.php)
21:16:04	380512/380512	---M--	200	added ('OK')	image/png	etag:%225ce60-59ac5452004d6%22	http://localhost/ShopOnline/public/upload/images/image4-1-banner-trai.png?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/images/image4-1-banner-traiaaa1.png	(from http://localhost/ShopOnline/index.php)
21:16:05	55366/55366	---M--	200	added ('OK')	image/jpeg	etag:%22d846-59a7f3cbb8680%22	http://localhost/ShopOnline/public/upload/product/dellvostro15-5581-vrf6j1.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/dellvostro15-5581-vrf6j1.jpg	(from http://localhost/ShopOnline/index.php)
21:16:05	13977/13977	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Dec%202019%2014:16:04%20GMT	http://localhost/ShopOnline/dell-inspiron-3593-70197457-i5-1035g1.jpg	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/dell-inspiron-3593-70197457-i5-1035g1.42.delayed	(from http://localhost/ShopOnline/index.php)
21:16:05	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2031%20Dec%202019%2014:16:05%20GMT	http://localhost/ShopOnline/product/view/21-dellinspiron3593.html	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/product/view/21-dellinspiron3593.html	(from http://localhost/ShopOnline/index.php)
21:16:05	55366/55366	---M--	200	added ('OK')	image/jpeg	etag:%22d846-59a7f3cbb8680%22	http://localhost/ShopOnline/public/upload/product/dellvostro15-5581-vrf6j1.jpg?time=1577801623	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/upload/product/dellvostro15-5581-vrf6j1aaa1.jpg	(from http://localhost/ShopOnline/index.php)
